"ID","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","NumDealsPurchases","NumWebPurchases","NumStorePurchases","AcceptedCmp","Complain","Response"
10637,1964,"Graduation","Married",40800,1,2,"01-01-2013",77,24,0,27,8,30,2,3,3,0,1,"0"
7261,1971,"Graduation","Together",34600,1,1,"01-01-2013",8,199,33,60,8,3,5,5,5,0,0,"1"
2452,1971,"Graduation","Together",34600,1,1,"01-01-2013",8,199,33,60,8,3,5,5,5,0,0,"1"
1992,1964,"Graduation","Married",60597,0,1,"01-01-2014",2,522,0,257,32,16,4,2,8,0,0,"1"
7124,1968,"Graduation","Divorced",36997,1,1,"01-02-2013",72,43,4,12,8,0,5,2,4,0,0,"0"
2968,1943,"PhD","Divorced",48948,0,0,"01-02-2013",53,437,8,206,160,49,2,7,5,0,0,"1"
8800,1943,"PhD","Divorced",48948,0,0,"01-02-2013",53,437,8,206,160,49,2,7,5,0,0,"1"
8749,1984,"Graduation","Together",37235,1,0,"01-02-2014",68,20,2,9,4,6,1,1,2,0,0,"0"
1524,1983,"2n Cycle","Single",81698,0,0,"01-03-2013",1,709,45,115,30,160,1,8,5,0,0,"1"
7042,1983,"Graduation","Married",36790,0,0,"01-03-2013",14,3,3,14,15,21,1,2,2,0,0,"1"
10812,1978,"PhD","Married",46377,1,0,"01-03-2014",89,37,0,46,4,3,1,2,3,0,0,"0"
8070,1973,"PhD","Married",54222,0,1,"01-03-2014",98,199,12,31,3,12,1,3,5,0,0,"0"
3286,1967,"PhD","Divorced",26642,1,0,"01-03-2014",71,13,2,15,2,2,2,2,3,0,0,"0"
6646,1984,"Graduation","Together",16529,1,0,"01-03-2014",23,3,0,5,13,0,1,1,3,0,0,"0"
3711,1944,"Master","Married",80184,0,0,"01-03-2014",19,1035,134,670,25,38,1,6,10,1,0,"0"
8475,1973,"PhD","Married",157243,0,1,"01-03-2014",98,20,2,1582,1,2,15,0,0,0,0,"0"
10475,1970,"Master","Together",NA,0,1,"01-04-2013",39,187,5,65,26,20,2,4,6,0,0,"0"
2849,1979,"Graduation","Single",60474,0,1,"01-04-2013",25,265,199,303,234,9,7,10,12,0,0,"0"
3225,1984,"Master","Married",42207,1,0,"01-04-2013",71,116,11,72,3,17,4,4,5,0,0,"1"
7007,1968,"Master","Married",29543,2,0,"01-04-2014",47,17,3,18,3,4,2,3,2,0,0,"0"
1584,1977,"Graduation","Married",41443,1,0,"01-04-2014",79,171,7,171,25,19,6,8,5,0,0,"0"
10095,1975,"PhD","Divorced",74165,0,0,"01-05-2013",9,1001,12,240,16,12,1,5,10,0,0,"0"
